   2.4808E+02  1.5939E-25  
   2.5327E+02  1.6197E-25  
   2.5857E+02  1.6457E-25  
   2.6399E+02  1.6718E-25  
   2.6951E+02  1.6980E-25  
   2.7515E+02  1.7243E-25  
   2.8091E+02  1.7507E-25  
   2.8679E+02  1.7772E-25  
   2.9280E+02  1.8039E-25  
   2.9893E+02  1.8305E-25  
   3.0519E+02  1.8574E-25  
   3.1157E+02  1.8842E-25  
   3.1810E+02  1.9110E-25  
   3.2475E+02  1.9380E-25  
   3.3155E+02  1.9650E-25  
   3.3849E+02  1.9920E-25  
   3.4558E+02  2.0191E-25  
   3.5281E+02  2.0462E-25  
   3.6020E+02  2.0734E-25  
   3.6774E+02  2.1005E-25  
   3.7544E+02  2.1277E-25  
   3.8330E+02  2.1549E-25  
   3.9132E+02  2.1821E-25  
   3.9951E+02  2.2093E-25  
   4.0787E+02  2.2365E-25  
   4.1641E+02  2.2637E-25  
   4.2513E+02  2.2909E-25  
   4.3403E+02  2.3181E-25  
   4.4311E+02  2.3452E-25  
   4.5239E+02  2.3724E-25  
   4.6186E+02  2.3995E-25  
   4.7153E+02  2.4266E-25  
   4.8140E+02  2.4537E-25  
   4.9148E+02  2.4808E-25  
   5.0176E+02  2.5071E-25  
   5.1227E+02  2.5321E-25  
   5.2299E+02  2.5569E-25  
   5.3394E+02  2.5816E-25  
   5.4512E+02  2.6062E-25  
   5.5653E+02  2.6306E-25  
   5.6818E+02  2.6549E-25  
   5.8007E+02  2.6791E-25  
   5.9221E+02  2.7032E-25  
   6.0461E+02  2.7272E-25  
   6.1727E+02  2.7510E-25  
   6.3019E+02  2.7748E-25  
   6.4338E+02  2.7985E-25  
   6.5685E+02  2.8221E-25  
   6.7060E+02  2.8457E-25  
   6.8464E+02  2.8692E-25  
   6.9897E+02  2.8926E-25  
   7.1360E+02  2.9160E-25  
   7.2854E+02  2.9394E-25  
   7.4379E+02  2.9628E-25  
   7.5936E+02  2.9862E-25  
   7.7526E+02  3.0096E-25  
   7.9148E+02  3.0330E-25  
   8.0805E+02  3.0562E-25  
   8.2497E+02  3.0796E-25  
   8.4224E+02  3.1030E-25  
   8.5987E+02  3.1265E-25  
   8.7787E+02  3.1502E-25  
